S.No,isAlive,name,title,"Gender (1=male, 0=female)",culture,house,isMarried,spouse,isNoble,age,isPopular
2,1,Walder Frey,Lord of the Crossing,1,Rivermen,House Frey,1,Perra Royce,1,97,1
6,1,Tommen Baratheon,,1,,House Baratheon,0,,0,,1
7,0,Valarr Targaryen,Hand of the King,1,Valyrian,House Targaryen,1,Kiera of Tyrosh,1,26,1
51,0,Joffrey Baratheon,,1,,House Baratheon,0,,0,,1
55,1,Margaery Tyrell,Seven Kingdoms,0,Reach,House Tyrell,1,Renly Baratheon,1,22,1
102,0,Robb Stark,,1,,House Stark,0,,0,,1
173,1,Stannis Baratheon,,1,,House Baratheon,0,,0,,1
274,1,Samwell Tarly,,1,Westeros,Night's Watch,0,,0,22,1
333,0,Baelor Targaryen (son of Daeron II),Prince of Dragonstone,1,,House Targaryen,1,Jena Dondarrion,1,39,1
507,1,Euron Greyjoy,,1,Ironborn,House Greyjoy,0,,0,,1
968,0,Cregan Stark,Winterfell,1,Northmen,House Stark,1,Arra Norrey,1,,1
1008,1,Edmyn Tully,Riverrun,1,Rivermen,House Tully,0,,1,,1
1467,1,Arya Stark,Princess,0,Northmen,House Stark,0,,1,16,1
1469,1,Aurane Waters,master of ships,1,Valyrian,House Velaryon,0,,1,28,1
1475,1,Bran Stark,Prince of Winterfell,1,Northmen,House Stark,0,,1,15,1
1482,1,Cersei Lannister,Light of the West,0,Westerlands,House Lannister,1,Robert Baratheon,1,39,1
1497,1,Doran Martell,Prince of Dorne,1,Dornish,House Nymeros Martell,1,Mellario of Norvos,1,58,1
1507,0,Gerold Hightower,Ser,1,,House Hightower,0,,1,,1
1523,0,Janos Slynt,Lord of Harrenhal,1,,Night's Watch,0,,1,22,1
1531,1,Jorah Mormont,Ser,1,Northmen,House Mormont,1,Glover,1,51,1
1537,1,Lancel Lannister,Ser,1,,House Lannister of Casterly Rock,1,Amerei Frey,1,23,1
1541,0,Lyanna Stark,,1,Northmen,House Stark,0,,0,17,1
1546,1,Mace Tyrell,Highgarden,1,,House Tyrell,1,Alerie Hightower,1,49,1
1559,1,Melisandre,,0,Asshai,Other,0,,0,,1
1562,0,Merrett Frey,,1,Riverlands,House Frey,1,Mariya Darry,0,38,1
1574,1,Myrcella Baratheon,Princess,0,,House Baratheon of King's Landing,0,,1,15,1
1577,1,Nymeria Sand,,0,Dornishmen,House Martell,0,,0,31,1
1579,0,Oberyn Martell,Ser,1,Dornishmen,House Martell,0,,1,43,1
1587,0,Orys Baratheon,Storm's End,1,,House Baratheon,1,Argella Durrandon,1,,1
1591,0,Otto Hightower,Ser,1,,House Hightower,0,,1,,1
1602,0,Pycelle,Grand Maester,1,,House Lannister,0,,1,84,1
1605,0,Quentyn Martell,Ser,1,Dornishmen,House Martell,0,,1,19,1
1607,1,Ramsay Snow,Lord of the Hornwood,1,Northmen,House Bolton of the Dreadfort,1,Donella Hornwood,1,23,1
1608,1,Randyll Tarly,Horn Hill,1,,House Tarly,1,Melessa Florent,1,,1
1623,1,Aeron Greyjoy,Golden Storm,1,Ironmen,House Greyjoy,0,,1,36,1
1643,1,Asha Greyjoy,Black Wind,0,Ironborn,House Greyjoy,1,Erik Ironmaker,1,30,1
1647,0,Balon Greyjoy,,1,,House Greyjoy,0,,0,,1
1657,1,Benjen Stark,First Ranger,1,Northmen,House Stark,0,,1,38,1
